page_count,file_size_kb,word_count,ocr_confidence,upload_hour,category,priority
1,462,39,0.571,13,id_card,medium
1,194,191,0.722,16,form,high
1,257,20,0.701,0,prescription,high
1,275,16,0.857,10,generic_photo,low
1,271,97,0.756,3,receipt,low
1,383,92,0.815,10,receipt,low
1,396,6,0.752,21,generic_photo,low
1,286,7,0.742,14,generic_photo,low
2,688,168,0.98,0,invoice,low
1,290,64,0.977,21,prescription,medium
2,776,242,0.88,6,invoice,low
1,220,36,0.74,12,receipt,low
1,454,40,0.981,6,prescription,medium
1,390,79,0.936,16,prescription,medium
1,400,34,0.99,20,id_card,low
1,293,35,0.717,21,id_card,low
1,461,199,0.895,15,form,medium
3,801,513,0.897,8,invoice,low
1,296,18,0.754,7,generic_photo,low
1,197,70,0.842,1,receipt,low
1,353,5,0.919,14,generic_photo,low
2,396,136,0.76,12,form,medium
1,482,85,0.815,9,receipt,low
1,331,17,0.99,13,prescription,medium
1,211,32,0.676,10,id_card,medium
1,256,114,0.682,10,receipt,medium
1,405,81,0.826,1,receipt,low
1,285,62,0.849,8,prescription,medium
1,467,77,0.86,16,receipt,low
1,360,14,0.99,11,id_card,low
1,220,73,0.702,5,prescription,high
1,364,72,0.99,2,prescription,medium
1,495,78,0.873,21,prescription,medium
1,481,9,0.963,9,generic_photo,low
1,416,27,0.748,7,prescription,high
1,243,73,0.772,11,prescription,medium
1,356,63,0.99,17,receipt,low
1,428,169,0.99,17,form,medium
1,211,16,0.719,5,generic_photo,low
1,210,39,0.957,0,id_card,low
1,305,12,0.638,3,generic_photo,medium
1,356,9,0.815,3,generic_photo,low
